detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,733258c1-a13d-4458-913e-e07120d44491,bnhtldbrdryispihzqns,1762777495892000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,8f0f2075-0561-4733-b346-433c58b1319a,bnhtldbrdryispihzqns,1762777495886000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,e7d6161d-9e63-4ae1-be39-1d062016654d,bnhtldbrdryispihzqns,1762777495886000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,6fa0f5d6-69b8-47c8-b5ea-299e8fb83bb2,bnhtldbrdryispihzqns,1762777495878000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,be8210e5-7e98-4712-9d0a-6743f89d1069,bnhtldbrdryispihzqns,1762777495878000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,93295de9-37e9-42b5-8b3e-4d83232dd68b,bnhtldbrdryispihzqns,1762777495858000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d0581e5e-a860-4939-94eb-87d8c0ba51e7,bnhtldbrdryispihzqns,1762777495858000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,f55df672-1f76-449b-8142-721e0282b917,bnhtldbrdryispihzqns,1762777495851000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,b3455bb7-c88e-4f6a-be91-a0334550c348,bnhtldbrdryispihzqns,1762777495851000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,c3d6b949-ed33-4f1b-9ac1-3f920df16127,bnhtldbrdryispihzqns,1762777495835000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d6df1fe7-9e48-4426-a1dc-f5584c0fa800,bnhtldbrdryispihzqns,1762777495835000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,80a1519e-62ef-4169-8599-4ee0b34b882b,bnhtldbrdryispihzqns,1762777495828000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,18688a4b-9047-4970-8cd7-c137e4ad791d,bnhtldbrdryispihzqns,1762777495828000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,e62f8926-0fce-458d-bcd3-028e6d460217,bnhtldbrdryispihzqns,1762777495822000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d5bf7286-6da0-48aa-9214-fea89f745d6f,bnhtldbrdryispihzqns,1762777495822000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_health_check SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a2e2e26f-6f3e-4b51-8f87-1f551e52cb07,bnhtldbrdryispihzqns,1762777495206000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba_users_public.conf:9)",null,45263029-0302-4e8e-bd01-29e74a070e70,bnhtldbrdryispihzqns,1762777495206000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba_users_public.conf:9)",null,cceff87f-a48a-4af8-b0fd-f40bb0014232,bnhtldbrdryispihzqns,1762777495102000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,74ab078c-d4d1-41e2-ab55-3d340a6a46a5,bnhtldbrdryispihzqns,1762777495102000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,580a4d13-e41f-41ca-8d73-3217f37177ed,bnhtldbrdryispihzqns,1762777495099000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba_users_public.conf:9)",null,f6ebcf93-77dd-4eae-a3d5-87f491e4d3e4,bnhtldbrdryispihzqns,1762777495099000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,0f2121b5-d5d5-4ea6-a537-38432b91e59f,bnhtldbrdryispihzqns,1762777495072000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba_users_public.conf:9)",null,d40a12bc-dac0-418b-9b76-4e139753fd17,bnhtldbrdryispihzqns,1762777495072000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a0e08598-747a-4a70-ba61-268afaa4ab77,bnhtldbrdryispihzqns,1762777494998000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,d15767fe-504c-402e-8bc3-edf01194d449,bnhtldbrdryispihzqns,1762777494998000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,49b682af-29f0-4fdb-9ed9-0c83ece76988,bnhtldbrdryispihzqns,1762777494996000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,31bee04d-a4f3-4421-8ded-051c6318b257,bnhtldbrdryispihzqns,1762777494996000
null,LOG,connection received: host=2a05:d01c:3be:df01:5857:b4e4:63c2:672a port=51670,null,76141c23-9cb1-4426-a03f-acc0d69c654e,bnhtldbrdryispihzqns,1762777494982000
null,LOG,connection received: host=2a05:d018:1e14:200:bb31:9f5c:b042:2004 port=59450,null,47a74923-b2e4-481b-ab61-6e6469a4b40b,bnhtldbrdryispihzqns,1762777494899000
null,LOG,connection received: host=2a05:d018:1e14:201:b634:19c5:539b:e229 port=39174,null,e90c45b5-0d6e-42f1-b704-51bbe7d11187,bnhtldbrdryispihzqns,1762777494899000
null,LOG,connection received: host=2a05:d018:1e14:200:56ff:395a:647a:4a0 port=54490,null,9bedf1b9-4945-47f6-9ff8-23ffa836e936,bnhtldbrdryispihzqns,1762777494878000
null,LOG,connection received: host=2a05:d018:1e14:201:cdf8:4086:2330:4cd2 port=38290,null,eeced1b8-c639-4aa8-8fcd-bab789d78c8e,bnhtldbrdryispihzqns,1762777494790000
null,LOG,connection received: host=2a05:d018:1e14:200:56ff:395a:647a:4a0 port=54476,null,7f165569-bffc-4ec0-a733-60b57e423eef,bnhtldbrdryispihzqns,1762777494784000
null,LOG,"checkpoint complete: wrote 14 buffers (0.0%); 0 WAL file(s) added, 0 removed, 3 recycled; write=1.418 s, sync=0.002 s, total=1.441 s; sync files=12, longest=0.002 s, average=0.001 s; distance=49152 kB, estimate=49152 kB; lsn=0/31000080, redo lsn=0/31000028",null,fedd9b83-32de-4cea-a282-f7aaa9f508d9,bnhtldbrdryispihzqns,1762777481693000
null,LOG,checkpoint starting: time,null,2772877f-7844-445c-8049-3c76c7130285,bnhtldbrdryispihzqns,1762777480256000
